Number,Month,Day,Hour,Minute,Second,Easting (m),Northing (m),Depth (m),Magnitude Mw
1,10,25,22,11,4,5154.9,6477.4,2204.8,-0.12
2,10,26,22,33,55,3074.9,4827.4,3822.8,-0.15
3,10,27,1,5,45,1757.8,5790.4,3917.2,0.10
4,10,27,4,40,27,3081.6,4790.9,4035.4,-0.25
5,10,27,5,41,13,3005.6,4860.9,3794.1,-0.07
6,10,27,10,29,1,3440.0,5085.4,3230.8,-0.27
7,10,27,10,46,0,3023.9,4827.4,3818.5,0.05
8,10,27,10,51,53,3375.3,5098.4,3556.1,-0.27
9,10,27,11,31,2,3426.8,5149.4,3508.9,-0.28
10,10,27,11,35,39,3417.0,5009.4,3348.7,-0.07
11,10,27,11,43,21,3075.5,4751.4,3940.5,-0.05
12,10,27,11,43,41,3123.0,4921.9,4111.1,-0.05
13,10,27,11,46,15,3463.0,5081.9,3380.5,-0.16
14,10,27,12,1,23,3480.1,5102.4,3280.7,NaN
15,10,27,12,14,43,3454.4,5138.9,3381.1,-0.26
16,10,27,12,26,17,3435.1,5119.4,3310.2,-0.28
17,10,27,12,46,24,3416.7,4999.4,3247.5,-0.22
18,10,27,12,58,18,3437.3,5097.9,3316.7,-0.38
19,10,27,13,30,12,3449.6,5115.4,3323.6,0.03
20,10,27,14,3,49,3414.9,5179.4,3538.4,-0.08
21,10,27,14,30,50,3485.7,5118.4,3343.0,-0.16
22,10,27,14,56,46,3438.6,5133.4,3258.8,0.06
23,10,27,15,28,46,3477.3,5115.4,3326.5,-0.38
24,10,27,15,44,13,3413.9,5005.4,3325.5,-0.16
25,10,27,16,8,46,3471.1,5129.4,3343.3,-0.15
26,10,27,16,19,15,3036.1,4808.4,3853.9,-0.14
27,10,27,16,25,13,3450.8,5129.9,3356.4,-0.24
28,10,27,16,32,7,3078.2,4694.9,4093.8,-0.24
29,10,27,17,0,25,3435.8,5149.4,3563.6,-0.43
30,10,27,17,5,22,3030.5,4895.4,3994.9,-0.07
31,10,27,17,6,58,3493.4,5851.4,4319.3,-0.02
32,10,27,17,7,41,2981.0,4872.9,3795.2,0.02
33,10,27,17,9,32,3084.3,4901.9,4033.3,-0.14
34,10,27,17,15,8,3083.5,4800.4,3963.9,-0.03
35,10,27,17,20,51,3461.9,5122.9,3332.9,0.12
36,10,27,17,29,36,3451.4,5148.9,3267.7,-0.06
37,10,27,17,30,23,3036.9,4722.4,3959.7,-0.10
38,10,27,17,47,5,3014.3,4675.4,4055.0,-0.06
39,10,27,17,48,12,3419.9,5192.4,3385.9,-0.11
40,10,27,17,49,50,3057.5,4806.4,3793.4,-0.14
41,10,27,18,0,38,1658.2,3593.4,3937.5,-0.33
42,10,27,18,3,12,3060.6,4716.4,4118.1,0.00
43,10,27,18,10,34,3459.0,5120.4,3298.3,-0.37
