X,Y,PP Time (ms),PP Time Error  (ms),Depth (m),Depth Error (m),Month,Day,Hour ,Minute
484293.95,6022885.79,2024.035924,11.95741103,3572.011204,32.35475173,10,26,22,33
484282.85,6022835.16,2023.553721,13.79197598,3570.518867,37.55174018,10,27,4,40
484316.13,6022778.21,2024.659302,15.28815932,3573.890888,41.5786437,10,27,5,41
484360.51,6022892.12,2027.651109,11.43011981,3582.756433,30.24969679,10,27,10,46
484673.91,6023148.41,2017.445809,20.11993152,3551.649159,57.04720918,10,27,10,51
484637.85,6023176.88,2009.969185,16.02413398,3529.277816,48.50516908,10,27,11,31
484637.85,6023081.96,1995.807495,14.16518046,3486.737486,42.55043292,10,27,11,35
484293.95,6022866.8,2030.362096,21.18335788,3590.139499,58.31252698,10,27,11,43
484404.88,6022784.54,2045.01499,33.41470915,3629.880622,95.02510373,10,27,11,43
484615.66,6023075.63,1997.26413,17.99692024,3491.045028,53.79603889,10,27,11,46
484665.59,6023113.6,1995.588257,14.69357528,3486.064316,44.22663737,10,27,12,1
484654.49,6023088.29,2000.596629,12.20320802,3501.264108,36.39122505,10,27,12,14
484668.36,6023091.45,1980.020673,15.15738302,3446.637205,38.35883962,10,27,12,26
484668.36,6023066.14,1996.108177,10.035829,3487.652984,30.83347323,10,27,12,46
484637.85,6023069.3,2018.025772,25.05009842,3553.389452,70.9766828,10,27,12,58
484668.36,6023104.11,1990.505025,11.44619183,3471.011117,34.58769042,10,27,13,30
484665.59,6023113.6,2012.381986,15.90722391,3536.402588,48.34504086,10,27,14,3
484682.23,6023189.54,2001.895407,13.37713217,3505.424945,39.44923229,10,27,14,30
484676.68,6023094.62,1989.886103,10.25212822,3469.810685,29.98313901,10,27,14,56
484676.68,6023119.93,1989.180401,10.18906836,3468.174356,29.26741598,10,27,15,28
484671.13,6023088.29,1980.121379,15.01944703,3446.849322,38.05138399,10,27,15,44
484654.49,6023132.59,2003.511697,12.32043007,3510.507946,36.13878814,10,27,16,8
484648.95,6023164.23,1997.272916,14.32158897,3491.069709,43.07529867,10,27,16,25
484654.49,6023195.87,1984.435381,22.17419142,3456.057129,63.78308129,10,27,17,0
484316.13,6022923.76,2032.7814,13.58540223,3596.060727,37.66419385,10,27,17,5
484368.83,6022888.95,2045.240404,29.59637057,3630.521657,84.16647205,10,27,17,6
484299.49,6022860.48,2022.156362,10.13144048,3566.084851,28.82810061,10,27,17,7
484291.17,6022914.27,2015.308412,14.14491457,3544.977556,43.05399692,10,27,17,9
484299.49,6022828.84,2020.658738,13.28661124,3561.447522,37.55509047,10,27,17,15
484657.27,6023104.11,1984.628172,9.927272064,3456.562274,26.70422513,10,27,17,20
484648.95,6023157.9,2001.293345,18.28019865,3503.531185,54.65749438,10,27,17,29
484288.4,6022911.1,2020.204872,13.02572047,3560.139318,36.99550242,10,27,17,30
484271.76,6022771.88,2034.233665,15.71849262,3599.706092,44.21489942,10,27,17,47
484665.59,6023151.57,1995.529425,12.44277743,3485.893855,37.81787651,10,27,17,48
484343.87,6022968.05,2018.411309,15.95297772,3554.62995,45.38562476,10,27,17,49
484657.27,6023104.11,1958.893328,32.17804203,3400.966617,71.481273,10,27,18,10
484654.49,6023138.91,2006.998993,15.10024414,3520.953606,44.95300777,10,27,18,17
484671.13,6023138.91,1993.444859,10.44668387,3479.846508,31.78614605,10,27,18,22
484673.91,6023123.09,1982.245406,12.10656266,3451.365857,31.2851777,10,27,18,39
484671.13,6023138.91,1991.607118,9.817833916,3474.129543,29.80063031,10,27,19,6
484665.59,6023113.6,1978.998709,14.58992242,3444.463111,35.83400562,10,27,19,15
484665.59,6023107.27,1989.151649,9.501498165,3468.109671,27.24741538,10,27,19,16
484660.04,6023107.27,1994.168286,11.18960076,3482.102823,34.12041538,10,27,19,16
