StationName,NAD83_X_m,NAD83_Y_m,z_m,DrillDepth_m,LoadedDepth_m
1,3422.96029999998,2117.61099999957,919.2933562,27,27
2,4288.18699999998,2072.62100000028,908.3039606,27,27
3,6782.7966,2903.51599999983,900.8906544,27,24
4,3235.777,2588.65799999982,923.8433275,27,27
5,3700.03759999998,3062.28600000031,911.1158249,27,27
6,4830.60080000001,3005.7209999999,895.3691922,27,27
7,5301.39399999997,2666.82299999986,868.1067032,27,27
8,7373.8284,3262.56699999981,925.2937231,27,23
9,3247.54399999999,3268.83999999985,916.5962381,27,27
10,3814.63900000002,3799.60199999996,889.9280457,27,27
11,4783.0134,3760.75800000038,866.3658031,27,24
12,5504.24099999998,3781.26999999955,866.1995827,27,24
13,6923.02710000001,3765.68599999975,912.0901807,27,27
14,7307.0061,4468.18400000036,905.7880502,27,27
15,1564.80119999999,3811.91299999971,969.3117906,27,20
16,2353.74690000003,3791.44799999986,944.2544171,27,25
17,3121.96830000001,4280.13300000038,883.2837136,27,27
18,3581.90159999998,4509.09700000007,859.5813748,27,27
19,4977.92940000002,4443.73300000001,860.5345206,27,27
20,5598.6557,4585.03699999955,852.4484334,27,27
21,6423.0747,4711.0839999998,864.2516913,27,27
22,6882.93339999998,5080.01300000027,894.3337283,27,27
23,7849.87270000001,4884.73400000017,889.2354249,27,26
24,1945.13020000001,4357.21700000018,971.0501945,27,27
25,2654.8334,4758.19400000013,889.0049947,27,27
26,4070.28610000003,5002.37999999989,851.4364827,27,27
27,5000.967,5023.76800000016,844.8769164,27,27
28,5603.75809999998,5461.13100000005,839.4178509,27,27
29,6223.4828,5457.83800000045,850.4450632,27,22
30,7409.4584,5442.42100000009,870.7252485,27,27
31,1234.56709999999,5079.95000000019,868.7768254,27,27
32,3069.34950000001,5783.22300000023,878.2678237,27,22
33,3560.6238,5400.55599999987,863.4018355,27,27
34,4274.55339999998,5473.89800000004,851.6279786,27,27
35,4800.18709999998,5847.49399999995,857.8970029,27,27
36,5716.35639999999,6109.82799999975,822.9758743,27,27
37,6780.7304,6264.31900000013,874.1121718,27,27
38,7498.64620000002,6281.72699999996,856.6379437,27,27
39,1544.1802,5908.51099999994,859.1308945,27,27
40,2244.07410000003,5978.73099999968,873.8063805,27,20
41,3916.1409,6318.57699999958,860.1812005,27,27
42,4469.7794,6333.65500000026,842.760036,27,27
43,5261.06160000002,6965.40000000037,827.186368,24,24
44,6358.06510000001,6724.11899999995,852.4901516,27,20
45,6982.25520000001,7119.72200000007,828.791584,27,24
46,1470.43030000001,6720.6799999997,865.0424655,27,27
47,2751.81780000002,6734.9299999997,857.5755132,27,27
48,3194.34139999998,7163.28100000042,839.559821,27,27
49,4025.16649999999,6985.13300000038,833.2864046,27,27
50,4627.20779999997,7557.42700000014,823.2511898,20,17
51,7159.42859999998,7488.83299999963,824.2767458,27,24
52,2176.33679999999,7161.79800000042,838.6733834,27,27
53,2595.58360000001,7614.39499999955,835.6581038,27,27
54,3508.88449999999,7650.51499999966,832.9378258,27,27
55,4301.26539999997,8199.36099999957,820.7407723,27,22
56,5004.9755,8270.79000000004,829.2566317,27,24
57,5723.8382,8090.7379999999,820.6657786,27,19
58,6389.2671,8352.45799999963,816.2254735,27,26
59,1912.9621,8127.39800000004,841.8671324,18,18
60,4901.3676,8824.42300000042,832.3849524,27,27
61,5667.56579999998,8826.15199999977,835.3519316,27,26
62,6390.3627,8907.86099999957,828.0947641,27,27
63,1918.50870000001,8855.45299999975,902.2176464,27,27
64,3368.39720000001,8980.96700000018,844.7335816,27,27
65,3974.50219999999,9329.59200000018,860.0568421,27,27
66,4926.27049999998,9502.92899999954,837.3153511,27,27
67,6050.16090000002,2169.74600000028,921.1354481,27,20
68,6065.37109999999,3111.46399999969,878.6517264,27,22
69,2603.02299999999,3013.56500000041,946.6643152,27,27
