Seg2File,Mw
19502.16.10.26.19.02.00.dat,-0.34
20080.16.10.27.04.40.00.dat,-0.24
20105.16.10.27.05.05.00.dat,-0.15
20141.16.10.27.05.41.00.dat,0.03
20410.16.10.27.10.10.00.dat,-0.34
20417.16.10.27.10.17.00.dat,-0.35
20421.16.10.27.10.21.00.dat,-0.4
20446.16.10.27.10.46.00.dat,-0.14
20468.16.10.27.11.08.00.dat,-0.24
20491.16.10.27.11.31.00.dat,-0.2
20495.16.10.27.11.35.00.dat,-0.16
20515.16.10.27.11.55.00.dat,-0.5
20546.16.10.27.12.26.00.dat,0.03
20554.16.10.27.12.34.00.dat,-0.38
20566.16.10.27.12.46.00.dat,-0.02
20583.16.10.27.13.03.00.dat,-0.32
20591.16.10.27.13.11.00.dat,-0.31
20610.16.10.27.13.30.00.dat,0.13
20637.16.10.27.13.57.00.dat,-0.36
20643.16.10.27.14.03.00.dat,-0.12
20653.16.10.27.14.13.00.dat,-0.32
20670.16.10.27.14.30.00.dat,-0.26
20696.16.10.27.14.56.00.dat,0.24
20725.16.10.27.15.25.00.dat,-0.42
20728.16.10.27.15.28.00.dat,-0.27
20744.16.10.27.15.44.00.dat,0.04
20768.16.10.27.16.08.00.dat,-0.14
20785.16.10.27.16.25.00.dat,-0.29
20824.16.10.27.17.04.00.dat,-0.35
20825.16.10.27.17.05.00.dat,-0.15
20827.16.10.27.17.07.00.dat,0.09
20829.16.10.27.17.09.00.dat,-0.33
20840.16.10.27.17.20.00.dat,0.25
20849.16.10.27.17.29.00.dat,-0.24
20850.16.10.27.17.30.00.dat,-0.22
20867.16.10.27.17.47.00.dat,-0.08
20868.16.10.27.17.48.00.dat,-0.18
20869.16.10.27.17.49.00.dat,-0.2
20876.16.10.27.17.56.00.dat,-0.45
20877.16.10.27.17.57.00.dat,-0.39
20881.16.10.27.18.01.00.dat,-0.33
20883.16.10.27.18.03.00.dat,-0.22
20890.16.10.27.18.10.00.dat,-0.13
20897.16.10.27.18.17.00.dat,-0.39
20902.16.10.27.18.22.00.dat,-0.06
20919.16.10.27.18.39.00.dat,0.32
20933.16.10.27.18.53.00.dat,-0.38
20946.16.10.27.19.06.00.dat,-0.03
20955.16.10.27.19.15.00.dat,0.4
20956.16.10.27.19.16.00.dat,-0.05
20982.16.10.27.19.42.00.dat,0.13
20991.16.10.27.19.51.00.dat,-0.27
21003.16.10.27.20.03.00.dat,-0.18
21022.16.10.27.20.22.00.dat,-0.18
21023.16.10.27.20.23.00.dat,-0.53
21057.16.10.27.20.57.00.dat,-0.38
21064.16.10.27.21.04.00.dat,-0.45
21086.16.10.27.21.26.00.dat,0.48
21103.16.10.27.21.43.00.dat,-0.27
21119.16.10.27.21.59.00.dat,-0.04
21130.16.10.27.22.10.00.dat,-0.61
21135.16.10.27.22.15.00.dat,-0.43
21137.16.10.27.22.17.00.dat,-0.54
21142.16.10.27.22.22.00.dat,-0.49
21147.16.10.27.22.27.00.dat,-0.33
21152.16.10.27.22.32.00.dat,-0.56
21156.16.10.27.22.36.00.dat,0.37
21157.16.10.27.22.37.00.dat,-0.24
21169.16.10.27.22.49.00.dat,-0.32
21176.16.10.27.22.56.00.dat,-0.35
21195.16.10.27.23.15.00.dat,-0.09
21204.16.10.27.23.24.00.dat,-0.27
21216.16.10.27.23.36.00.dat,0.04
21252.16.10.28.00.12.00.dat,-0.51
21284.16.10.28.00.44.00.dat,0.01
21319.16.10.28.01.19.00.dat,-0.29
21332.16.10.28.01.32.00.dat,-0.09
21342.16.10.28.01.42.00.dat,0.16
21354.16.10.28.01.54.00.dat,-0.49
21372.16.10.28.02.12.00.dat,0.07
21373.16.10.28.02.13.00.dat,-0.39
21392.16.10.28.02.32.00.dat,-0.28
21430.16.10.28.03.10.00.dat,-0.05
21443.16.10.28.03.23.00.dat,0.01
21482.16.10.28.04.02.00.dat,-0.53
21492.16.10.28.04.12.00.dat,0.21
21503.16.10.28.04.23.00.dat,-0.51
21516.16.10.28.04.36.00.dat,-0.02
21557.16.10.28.05.17.00.dat,0.27
21608.16.10.28.06.08.00.dat,-0.33
21628.16.10.28.06.28.00.dat,-0.29
21644.16.10.28.06.44.00.dat,-0.66
21645.16.10.28.06.45.00.dat,0.1
21651.16.10.28.06.51.00.dat,-0.24
21658.16.10.28.06.58.00.dat,-0.12
21695.16.10.28.07.35.00.dat,0.11
21709.16.10.28.07.49.00.dat,-0.46
21710.16.10.28.07.50.00.dat,-0.3
21737.16.10.28.08.17.00.dat,0.18
21746.16.10.28.08.26.00.dat,-0.17
21750.16.10.28.08.30.00.dat,-0.29
21775.16.10.28.08.55.00.dat,-0.31
21778.16.10.28.08.58.00.dat,-0.4
21783.16.10.28.09.03.00.dat,-0.23
21784.16.10.28.09.04.00.dat,-0.5
21812.16.10.28.09.32.00.dat,-0.45
21813.16.10.28.09.33.00.dat,-0.39
21820.16.10.28.09.40.00.dat,-0.02
21845.16.10.28.10.05.00.dat,-0.42
21847.16.10.28.10.07.00.dat,-0.28
21858.16.10.28.10.18.00.dat,-0.3
21859.16.10.28.10.19.00.dat,-0.41
21875.16.10.28.10.35.00.dat,-0.32
21882.16.10.28.10.42.00.dat,-0.43
21889.16.10.28.10.49.00.dat,-0.08
21894.16.10.28.10.54.00.dat,-0.27
21909.16.10.28.11.09.00.dat,-0.33
21910.16.10.28.11.10.00.dat,-0.5
21921.16.10.28.11.21.00.dat,-0.37
21943.16.10.28.11.43.00.dat,-0.07
21951.16.10.28.11.51.00.dat,-0.08
21959.16.10.28.11.59.00.dat,0.35
22015.16.10.28.12.55.00.dat,-0.05
22047.16.10.28.13.27.00.dat,-0.44
22052.16.10.28.13.32.00.dat,-0.16
22055.16.10.28.13.35.00.dat,-0.15
22057.16.10.28.13.37.00.dat,-0.29
22081.16.10.28.14.01.00.dat,0.1
22092.16.10.28.14.12.00.dat,0.1
22093.16.10.28.14.13.00.dat,-0.26
22101.16.10.28.14.21.00.dat,-0.15
22107.16.10.28.14.27.00.dat,-0.6
22138.16.10.28.14.58.00.dat,0.05
22169.16.10.28.15.29.00.dat,-0.38
22180.16.10.28.15.40.00.dat,0.24
22183.16.10.28.15.43.00.dat,-0.22
22203.16.10.28.16.03.00.dat,-0.46
22209.16.10.28.16.09.00.dat,-0.11
22218.16.10.28.16.18.00.dat,-0.7
22234.16.10.28.16.34.00.dat,-0.07
22243.16.10.28.16.43.00.dat,-0.47
22253.16.10.28.16.53.00.dat,-0.37
22262.16.10.28.17.02.00.dat,0
22266.16.10.28.17.06.00.dat,-0.52
22284.16.10.28.17.24.00.dat,-0.2
22291.16.10.28.17.31.00.dat,0.02
22304.16.10.28.17.44.00.dat,0.06
22320.16.10.28.18.00.00.dat,-0.48
22321.16.10.28.18.01.00.dat,-0.44
22324.16.10.28.18.04.00.dat,-0.35
22336.16.10.28.18.16.00.dat,-0.15
22339.16.10.28.18.19.00.dat,0.08
22341.16.10.28.18.21.00.dat,-0.27
22346.16.10.28.18.26.00.dat,0.1
22360.16.10.28.18.40.00.dat,-0.45
22379.16.10.28.18.59.00.dat,-0.5
22387.16.10.28.19.07.00.dat,-0.13
22402.16.10.28.19.22.00.dat,-0.27
22408.16.10.28.19.28.00.dat,-0.38
22416.16.10.28.19.36.00.dat,-0.27
22442.16.10.28.20.02.00.dat,-0.04
22444.16.10.28.20.04.00.dat,-0.24
22473.16.10.28.20.33.00.dat,-0.3
22474.16.10.28.20.34.00.dat,-0.63
22477.16.10.28.20.37.00.dat,-0.19
22493.16.10.28.20.53.00.dat,-0.3
22501.16.10.28.21.01.00.dat,0.22
22545.16.10.28.21.45.00.dat,0.16
22566.16.10.28.22.06.00.dat,-0.1
22580.16.10.28.22.20.00.dat,-0.34
22581.16.10.28.22.21.00.dat,-0.01
22585.16.10.28.22.25.00.dat,-0.45
22608.16.10.28.22.48.00.dat,-0.03
22636.16.10.28.23.16.00.dat,-0.15
22664.16.10.28.23.44.00.dat,-0.35
22675.16.10.28.23.55.00.dat,0.07
22688.16.10.29.00.08.00.dat,-0.09
22713.16.10.29.00.33.00.dat,0.09
22734.16.10.29.00.54.00.dat,0.01
22736.16.10.29.00.56.00.dat,-0.25
22749.16.10.29.01.09.00.dat,-0.12
22820.16.10.29.02.20.00.dat,-0.05
22871.16.10.29.03.11.00.dat,-0.17
22892.16.10.29.03.32.00.dat,0.11
22910.16.10.29.03.50.00.dat,0.07
22918.16.10.29.03.58.00.dat,-0.2
22919.16.10.29.03.59.00.dat,-0.13
22940.16.10.29.04.20.00.dat,0.08
22958.16.10.29.04.38.00.dat,-0.37
22993.16.10.29.05.13.00.dat,0.13
23010.16.10.29.05.30.00.dat,-0.27
23016.16.10.29.05.36.00.dat,-0.26
23024.16.10.29.05.44.00.dat,0.2
23025.16.10.29.05.45.00.dat,-0.25
23032.16.10.29.05.52.00.dat,-0.66
23039.16.10.29.05.59.00.dat,0.23
23040.16.10.29.06.00.00.dat,-0.28
23051.16.10.29.06.11.00.dat,-0.73
23059.16.10.29.06.19.00.dat,0.19
23060.16.10.29.06.20.00.dat,-0.39
23061.16.10.29.06.21.00.dat,-0.36
23068.16.10.29.06.28.00.dat,-0.48
23077.16.10.29.06.37.00.dat,-0.26
23102.16.10.29.07.02.00.dat,-0.46
23103.16.10.29.07.03.00.dat,-0.38
23130.16.10.29.07.30.00.dat,0.21
23133.16.10.29.07.33.00.dat,-0.39
23134.16.10.29.07.34.00.dat,-0.11
23145.16.10.29.07.45.00.dat,-0.35
23152.16.10.29.07.52.00.dat,-0.58
23161.16.10.29.08.01.00.dat,-0.35
23165.16.10.29.08.05.00.dat,-0.22
23168.16.10.29.08.08.00.dat,0.13
23172.16.10.29.08.12.00.dat,-0.2
23174.16.10.29.08.14.00.dat,-0.24
23177.16.10.29.08.17.00.dat,-0.28
23178.16.10.29.08.18.00.dat,-0.36
23190.16.10.29.08.30.00.dat,-0.13
23193.16.10.29.08.33.00.dat,0.48
23194.16.10.29.08.34.00.dat,-0.07
23239.16.10.29.09.19.00.dat,-0.24
23250.16.10.29.09.30.00.dat,0.32
23262.16.10.29.09.42.00.dat,-0.09
23265.16.10.29.09.45.00.dat,0.05
23291.16.10.29.10.11.00.dat,0.47
23303.16.10.29.10.23.00.dat,-0.39
23305.16.10.29.10.25.00.dat,0.2
23306.16.10.29.10.26.00.dat,-0.29
23314.16.10.29.10.34.00.dat,-0.4
23340.16.10.29.11.00.00.dat,-0.26
23349.16.10.29.11.09.00.dat,-0.13
23354.16.10.29.11.14.00.dat,-0.31
23356.16.10.29.11.16.00.dat,-0.44
23374.16.10.29.11.34.00.dat,0.16
23398.16.10.29.11.58.00.dat,0.08
23414.16.10.29.12.14.00.dat,-0.28
23431.16.10.29.12.31.00.dat,-0.38
23432.16.10.29.12.32.00.dat,-0.46
23433.16.10.29.12.33.00.dat,-0.37
23444.16.10.29.12.44.00.dat,0.22
23476.16.10.29.13.16.00.dat,-0.32
23482.16.10.29.13.22.00.dat,-0.09
23483.16.10.29.13.23.00.dat,-0.24
23484.16.10.29.13.24.00.dat,0.29
23493.16.10.29.13.33.00.dat,-0.14
23497.16.10.29.13.37.00.dat,0.06
23501.16.10.29.13.41.00.dat,-0.05
23505.16.10.29.13.45.00.dat,-0.52
23529.16.10.29.14.09.00.dat,-0.61
23530.16.10.29.14.10.00.dat,-0.44
23531.16.10.29.14.11.00.dat,-0.02
23538.16.10.29.14.18.00.dat,-0.57
23551.16.10.29.14.31.00.dat,-0.29
23559.16.10.29.14.39.00.dat,-0.48
23597.16.10.29.15.17.00.dat,-0.22
23608.16.10.29.15.28.00.dat,0.13
23609.16.10.29.15.29.00.dat,0.23
23623.16.10.29.15.43.00.dat,-0.34
23644.16.10.29.16.04.00.dat,-0.22
23648.16.10.29.16.08.00.dat,-0.17
23649.16.10.29.16.09.00.dat,-0.21
23656.16.10.29.16.16.00.dat,-0.35
23678.16.10.29.16.38.00.dat,0.12
23694.16.10.29.16.54.00.dat,-0.4
23699.16.10.29.16.59.00.dat,0.06
23701.16.10.29.17.01.00.dat,-0.22
23702.16.10.29.17.02.00.dat,0.38
23711.16.10.29.17.11.00.dat,-0.33
23721.16.10.29.17.21.00.dat,-0.1
23730.16.10.29.17.30.00.dat,-0.25
23748.16.10.29.17.48.00.dat,-0.28
23760.16.10.29.18.00.00.dat,-0.3
23768.16.10.29.18.08.00.dat,-0.29
23777.16.10.29.18.17.00.dat,0.13
23782.16.10.29.18.22.00.dat,-0.79
23801.16.10.29.18.41.00.dat,-0.61
23806.16.10.29.18.46.00.dat,-0.47
23811.16.10.29.18.51.00.dat,-0.16
23831.16.10.29.19.11.00.dat,-0.47
23832.16.10.29.19.12.00.dat,-0.45
23861.16.10.29.19.41.00.dat,0.21
23866.16.10.29.19.46.00.dat,-0.15
23888.16.10.29.20.08.00.dat,0.22
23897.16.10.29.20.17.00.dat,-0.25
23899.16.10.29.20.19.00.dat,0.01
23921.16.10.29.20.41.00.dat,-0.31
23923.16.10.29.20.43.00.dat,0.11
23940.16.10.29.21.00.00.dat,-0.23
23944.16.10.29.21.04.00.dat,-0.09
23951.16.10.29.21.11.00.dat,-0.43
23954.16.10.29.21.14.00.dat,-0.31
23973.16.10.29.21.33.00.dat,-0.25
23974.16.10.29.21.34.00.dat,-0.25
23988.16.10.29.21.48.00.dat,0.25
23991.16.10.29.21.51.00.dat,-0.06
23992.16.10.29.21.52.00.dat,-0.14
23994.16.10.29.21.54.00.dat,-0.32
24005.16.10.29.22.05.00.dat,-0.28
24006.16.10.29.22.06.00.dat,-0.18
24024.16.10.29.22.24.00.dat,-0.17
24042.16.10.29.22.42.00.dat,-0.47
24045.16.10.29.22.45.00.dat,-0.45
24049.16.10.29.22.49.00.dat,0.25
24059.16.10.29.22.59.00.dat,-0.27
24060.16.10.29.23.00.00.dat,-0.37
24074.16.10.29.23.14.00.dat,-0.43
24081.16.10.29.23.21.00.dat,-0.2
24089.16.10.29.23.29.00.dat,0.43
24119.16.10.29.23.59.00.dat,-0.27
24150.16.10.30.00.30.00.dat,-0.09
24151.16.10.30.00.31.00.dat,0.13
24200.16.10.30.01.20.00.dat,-0.55
24214.16.10.30.01.34.00.dat,-0.16
24215.16.10.30.01.35.00.dat,0
24266.16.10.30.02.26.00.dat,-0.19
24281.16.10.30.02.41.00.dat,-0.36
24300.16.10.30.03.00.00.dat,-0.36
24307.16.10.30.03.07.00.dat,0.34
24345.16.10.30.03.45.00.dat,0.01
24367.16.10.30.04.07.00.dat,0.05
24368.16.10.30.04.08.00.dat,-0.04
24426.16.10.30.05.06.00.dat,0.17
24532.16.10.30.06.52.00.dat,0.29
24533.16.10.30.06.53.00.dat,-0.53
24534.16.10.30.06.54.00.dat,-0.28
24540.16.10.30.07.00.00.dat,-0.46
24542.16.10.30.07.02.00.dat,-0.42
24543.16.10.30.07.03.00.dat,-0.09
24552.16.10.30.07.12.00.dat,-0.02
24566.16.10.30.07.26.00.dat,-0.28
24594.16.10.30.07.54.00.dat,-0.5
24598.16.10.30.07.58.00.dat,-0.01
24599.16.10.30.07.59.00.dat,0.01
24613.16.10.30.08.13.00.dat,-0.04
24638.16.10.30.08.38.00.dat,-0.69
24640.16.10.30.08.40.00.dat,0.31
24641.16.10.30.08.41.00.dat,0.27
24696.16.10.30.09.36.00.dat,-0.81
24698.16.10.30.09.38.00.dat,-0.42
24700.16.10.30.09.40.00.dat,0.17
24707.16.10.30.09.47.00.dat,-0.24
24727.16.10.30.10.07.00.dat,-0.18
24802.16.10.30.11.22.00.dat,-0.15
24803.16.10.30.11.23.00.dat,-0.17
24805.16.10.30.11.25.00.dat,0.24
24889.16.10.30.12.49.00.dat,-0.54
24920.16.10.30.13.20.00.dat,0.32
24947.16.10.30.13.47.00.dat,-0.31
25008.16.10.30.14.48.00.dat,0.03
25009.16.10.30.14.49.00.dat,0.29
