EventID,Year,Month,Day,Hour,minute,second,Easting (m),Northing (m),TVD (m),MW,MWBB,MWg,MLBB,MLg
1,2016,10,26,3,15,35.882,484535,6023072,3613,-0.21,       NaN,-0.79,-1.29,-1.73
2,2016,10,26,21,39,57.252,484685,6023172,3917,-0.07,       NaN,-0.65,-1.18,-1.53
3,2016,10,27,1,24,1.054,484535,6023122,3822,0.14,0.11,-0.41,-0.72,-1.09
4,2016,10,27,1,40,42.51,484635,6023172,3868,-0.38,       NaN,-0.96,-1.19,-2.03
5,2016,10,27,1,43,10.564,484585,6023222,4097,-0.25,       NaN,-0.83,-1.19,-1.85
6,2016,10,27,2,29,51.598,484535,6023122,3827,0.17,       NaN,-0.41,-1.29,-1.13
7,2016,10,27,4,26,56.41,484535,6022972,3419,-0.36,       NaN,-0.94,-1.29,-1.95
8,2016,10,27,11,46,15.368,484646,6023141,3607,-0.2,       NaN,-0.78,-1.11,-1.87
9,2016,10,27,12,26,16.546,484616,6023146,3618,-0.12,       NaN,-0.7,-0.89,-1.57
10,2016,10,27,12,46,24.212,484626,6023121,3634,-0.14,       NaN,-0.72,-0.96,-1.66
11,2016,10,27,12,58,18.084,484435,6022972,5028,-0.35,       NaN,-0.93,-1.3,-2.07
12,2016,10,27,13,30,12.136,484646,6023146,3662,0,       NaN,-0.58,-0.75,-1.44
13,2016,10,27,14,9,43.164,483985,6022272,3283,0.02,0.02,-0.56,-1.27,-1.51
14,2016,10,27,14,15,31.642,484085,6022172,3514,0.13,-0.09,-0.34,-1.25,-1.08
15,2016,10,27,14,41,0.426,484085,6022222,3514,-0.1,       NaN,-0.68,-1.29,-1.59
16,2016,10,27,14,48,20.974,484085,6022372,3633,0.1,       NaN,-0.48,-1.3,-1.32
17,2016,10,27,14,56,46.474,484626,6023121,3657,0.06,       NaN,-0.52,-0.63,-1.31
18,2016,10,27,15,44,12.962,484626,6023121,3652,-0.15,       NaN,-0.73,-0.93,-1.63
19,2016,10,27,16,8,13.214,483985,6022272,3663,-0.13,       NaN,-0.71,-1.47,-1.63
20,2016,10,27,16,8,45.508,484631,6023116,3512,-0.27,       NaN,-0.85,-1.19,-1.89
21,2016,10,27,16,32,42.742,484135,6022222,3579,-0.27,       NaN,-0.85,-1.39,-1.86
22,2016,10,27,16,36,27.708,484035,6022172,3718,-0.21,       NaN,-0.79,-1.37,-1.79
23,2016,10,27,17,5,22.478,484585,6023072,2038,-0.4,       NaN,-0.98,-1.29,-2.13
24,2016,10,27,17,20,51.476,484636,6023131,3584,0.15,0.17,-0.45,-0.59,-1.26
25,2016,10,27,18,10,33.704,484651,6023136,3634,-0.24,-0.11,-0.88,-1.2,-1.87
26,2016,10,27,18,22,13.386,484621,6023146,3563,-0.19,       NaN,-0.77,-1.07,-1.78
27,2016,10,27,18,39,19.838,484636,6023136,3622,0.13,       NaN,-0.45,-0.5,-1.23
28,2016,10,27,19,6,3.066,484631,6023116,3613,-0.21,       NaN,-0.79,-1.03,-1.71
29,2016,10,27,19,15,44.92,484636,6023136,3618,0.2,       NaN,-0.38,-0.39,-1.11
30,2016,10,27,19,16,23.162,484631,6023135,3599,-0.19,       NaN,-0.77,-1.01,-1.7
31,2016,10,27,19,16,33.37,484646,6023136,3634,-0.26,       NaN,-0.84,-1.14,-1.85
32,2016,10,27,19,42,57.24,484636,6023146,3593,-0.05,       NaN,-0.63,-0.78,-1.49
33,2016,10,27,19,51,21.594,484651,6023146,3758,-0.34,       NaN,-0.92,-1.31,-2.01
34,2016,10,27,20,22,36.72,484611,6023121,3506,-0.27,       NaN,-0.85,-1.28,-1.92
